0.637017367,-0.225090074,0.055347848,0.744241474,-0.084036711,0.055404445,0.52585976,-0.037551754,-0.147164763,0.770601689,-0.062989188,-0.063357879,0.909466287,-0.014512303,-0.103496937,1.032690233,-0.020869677,-0.148993928,0.974315438,-0.123615504,-0.035346124,0.98565941,-0.382807868,0.126367804,0.682763777,-0.026174682,-0.703800904,-0.202744832,-0.916999539,-0.064526686,0.827770137,-0.955299617,-0.466759046,-0.718640298,-0.76227192,0.253723323,4762.852632,walking
0.726260333,-0.106946455,-0.110580914,-0.002687202,-0.005291079,-0.007922804,0.223897442,0.305276884,0.053000657,0.701904595,0.010240353,-0.082541727,0.860658666,0.02602074,-0.10839118,1.123619772,-0.099573963,-0.15733859,0.98016046,-0.080879238,-0.157066632,0.715415962,0.215369454,-0.144254568,-0.526906095,0.217049191,-0.870488275,0.207514339,0.718241599,-0.132852841,0.76358526,-0.902233136,-0.583210038,-0.4727344,-0.876121341,0.231780687,6321.615789,walking
0.926454421,-0.30230414,-0.054039727,0.433586535,0.17634357,-0.283394597,0.469788465,0.233725604,-0.530211535,0.604623289,0.076289263,-0.106299197,0.940929865,-0.026190318,-0.105608595,1.008700478,0.019486631,-0.187294638,0.901461356,0.071488438,-0.234763819,0.831975061,-0.126992446,0.050070505,0.114152915,-0.043550356,-0.853266523,0.367883604,-0.109107012,0.204693479,0.64586114,-0.862494187,-0.494675399,-0.206424767,-0.829928151,0.086118431,4269.086842,walking
0.585083776,-0.113393737,0.149108166,0.201162439,0.196460076,0.018322807,0.242608226,-0.182433216,-0.014732016,0.752331776,-0.199930645,0.054368234,0.925219099,-0.062458754,-0.070820175,1.117206643,-0.125121286,-0.129323989,0.944384311,0.004460791,-0.234024004,0.533945826,0.307171753,-0.294967775,-0.522671018,-0.462169161,-0.808310532,0.354794813,0.449367966,0.381363983,0.811386432,-0.750907533,-0.40371905,-0.288067546,-0.665273152,-0.126024322,5315.044737,walking
0.819980282,-0.181248133,-0.152334225,0.980921522,-0.163210866,-0.190164877,0.549709555,0.123823187,-0.08599172,0.640439361,0.042971344,-0.084177147,0.88655799,-0.052427312,-0.042172492,1.057703637,-0.0453489,-0.159062791,0.89199348,0.117975972,-0.291495844,0.904155732,0.133086784,-0.334376378,-0.934328766,-0.724783247,-0.880329954,0.858786161,0.9466712,0.814770343,0.780156099,-0.87838755,-0.471263404,-0.430759568,-0.77461783,0.056457618,6025.284211,walking
0.885408803,-0.730651315,0.221706746,0.246903653,-0.12215194,0.331809314,0.089678454,0.236557588,0.095265046,0.807243683,-0.099590127,-0.144291551,0.938978847,0.003420835,-0.117325631,1.063012671,-0.03968837,-0.165395011,0.844672363,0.078204151,-0.137773442,0.629618892,0.294391872,-0.293511786,-0.020344711,0.258456421,-0.515573882,-0.118254041,0.041794554,0.290991454,0.928805936,-0.941342176,-0.494416396,-0.769663357,-0.680115048,0.21516165,7850.876316,walking
0.928029638,-0.372029413,-0.112876592,0.792346162,0.01978691,-0.064796695,0.640183859,0.678005544,-0.57937702,0.704712694,0.052441346,-0.1420132,0.911479687,-0.091975823,-0.052027369,1.133965877,-0.090676985,-0.178951959,0.848772557,0.139843337,-0.291913066,0.836421626,-0.324296617,0.248884205,0.485388601,-0.178472267,-0.763761724,-0.768805211,-0.7688077,0.589421699,0.807323289,-0.815175816,-0.47939116,-0.384455297,-0.771214902,-0.028361468,4963.318421,walking
0.965299003,-0.462821708,0.168390849,0.38723749,0.053658414,0.072451297,0.267857143,-0.071428571,0.017857143,0.727208636,-0.048446771,-0.07565837,0.902594169,-0.009255027,-0.112971901,1.099816982,-0.07628267,-0.155703994,0.955192652,-0.017468915,-0.263420579,0.63158563,0.038822189,-0.040164858,0.496343842,-0.605474011,-0.817736487,-0.416827511,-0.559068403,0.699448982,0.770936554,-0.72036101,-0.428383109,-0.155861611,-0.750937108,-0.16253951,5619.342105,walking
0.346970902,-0.027942741,-0.26519894,0.599160711,-0.329897176,-0.094672838,0.740654206,-0.163316583,-0.096029211,0.638215841,0.027648317,-0.096825327,0.987380694,-0.085198291,-0.102802161,1.018064901,-0.002609098,-0.181215697,0.945190884,-0.019661995,-0.118588092,0.741573034,-0.494505495,0.236078528,-0.7046873,-0.249517157,-0.246118976,0.013501192,0.005676234,0.899310773,0.547595818,-0.944419569,-0.259603448,-0.353796423,-0.579758414,0.053143994,4295.502632,walking
0.086622521,0.079758291,0.105141039,0.571217362,-0.116433076,-0.087417176,0.430256077,-0.191110985,0.060602768,0.482021506,0.082752828,-0.115013605,0.867450103,-0.022675775,-0.075004939,1.010391024,0.03349815,-0.198253707,0.927060191,-0.073297135,-0.101101534,0.629618892,0.294391872,-0.293511786,0.26536598,0.090098317,-0.559656975,0.417704787,0.293385224,0.644244262,0.810101778,-0.856514279,-0.385463135,-0.450905584,-0.736171592,-0.026056516,4773.031579,walking
